Num_Acc;luminosite
200500001899;1
200500001900;1
200500001901;1
200500001902;3
200500001903;1
200500001904;1
200500001905;3
200500001906;1
200500001907;1
200500001908;5
200500001909;1
200500001910;3
200500001911;2
200500001912;1
200500001913;5
200500001914;3
200500001915;2
200500001916;1
200500001917;3
200500001918;1
200500001919;5
200500001920;5
200500001921;5
200500001922;1
200500001923;2
200500001924;2
200500001925;5
200500001926;5
200500001927;1
200500001928;1
200500001929;3
200500001930;1
200500001931;1
200500001932;1
200500001933;3
200500001934;3
200500001935;1
200500001936;1
200500001937;3
200500001938;3
200500001939;1
200500001940;1
200500001941;2
200500001942;1
200500001943;1
200500001944;1
200500001945;3
200500001946;3
200500001947;1
200500001948;1
200500001949;2
200500001950;3
200500001951;2
200500001952;1
200500001953;5
200500001954;2
200500001955;1
200500001956;1
200500001957;1
200500001958;5
200500001959;1
200500001960;1
200500001961;1
200500001962;3
200500001963;1
200500001964;5
200500001965;3
200500001966;3
200500001967;1
200500001968;1
200500001969;3
200500001970;3
200500001971;1
200500001972;1
200500001973;3
200500001974;3
200500001975;3
200500001976;1
200500001977;4
200500001978;3
200500001979;1
200500001980;3
200500001981;1
200500001982;1
200500001983;1
200500001984;1
200500001985;2
200500001986;1
200500001987;1
200500001988;3
200500001989;1
